Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
Centaur;Kein Skillshot vorhanden.;1. O-R-B-S-Drop-Targets in der richtigen Reihenfolge treffen. 2. 2-Ball-Multiball starten. 3. O-R-B-S erneut abschließen. 4. Danach 1-2-3-4-Drop-Targets spielen. 5. Linken Orbit und anschließend den Captive Ball treffen.;Keine Modusauswahl vorhanden.;–;Jeder korrekt abgeschlossene O-R-B-S-Satz fügt einen virtuellen Lock (Power Orb) hinzu.;Keine physischen Locks – virtuelle Power-Orb-Locks.;"Automatisch nach O-R-B-S; weitere O-R-B-S-Sequenzen fügen zusätzliche Bälle hinzu.";–;Ist O-R-B-S noch nicht komplett, ausschließlich darauf konzentrieren.;O-R-B-S-Drop-Targets – Fehlschüsse auf die enge Mitte führen oft zu schnellen Rückläufern.;Im Matchplay ausschließlich O-R-B-S priorisieren. Erst nach laufendem Multiball die 1-2-3-4-Targets und den Captive Ball angehen.
Deadpool;Super Skillshot: linken Flipper halten und die rechte Katana-Rampe treffen (alternativ BAM!-Lane).;1. D-E-A-D abschließen. 2. Battle am Scoop starten. 3. Ninja Multiball vorbereiten. 4. Drei Locks über die Katana-Rampe sammeln. 5. Ninja Multiball startet. 6. Battles und Multiballs stacken.;🥇 Juggernaut oder Sabretooth zuerst. 🥈 Battle immer mit Ninja- oder Lil' Deadpool-Multiball stacken.;Scoop (Mitte links).;Ninja Multiball ist zunächst sofort verfügbar. Danach P-O-O-L vervollständigen, um weitere Locks zu aktivieren.;Rechte Katana-Rampe (3 Locks).;Automatisch nach dem 3. Lock.;Ja – Action Button: Katana Strike auslösen. Für schwierige Battle-Schüsse, Jackpots oder als Ballrettung im Multiball aufheben.;Ist der Multiball noch weit entfernt, lieber den gestarteten Battle abschließen.;Katana-Rampe – Fehlschüsse können schnell zur rechten Outlane oder direkt SDTM laufen.;Im Matchplay zuerst einen Battle starten und anschließend Ninja- oder Lil' Deadpool-Multiball stacken. Lil' Deadpool ist einer der schnellsten und sichersten Punktebringer des Spiels.
Avengers: Infinity Quest;Standard: blinkende obere Skillshot-Lane. Super Skillshot: linken Flipper halten → Hawkeye-Rampe (links).;1. Einen Avenger rekrutieren. 2. Infinity Gem Quest starten. 3. Quest abschließen. 4. Avengers Multiball qualifizieren. 5. Drei virtuelle Locks sammeln. 6. Avengers Tower treffen – Multiball startet.;🥇 Power Gem oder Time Gem zuerst. 🥈 Danach weitere einfache Gem-Quests.;Avengers Computer (Center Scoop).;Drei Avengers rekrutieren bzw. Quest-Fortschritt für Avengers Multiball erreichen.;Captain Marvel Ramp und Infinity Mirror (virtuelle Locks).;Avengers Tower (Center Scoop), sobald 3 Locks gesammelt wurden.;Ja – Action Button: Infinity-Gem-Fähigkeit der aktuell ausgerüsteten Gem aktivieren (z. B. Time Gem oder Power Gem). Für schwierige Quest-Schüsse oder während des Multiballs aufheben.;Ist der Multiball noch weit entfernt, lieber weitere Gem-Quests spielen.;Captain Marvel Ramp – Fehlschüsse können hart zur rechten Flipperseite zurückkommen.;Im Matchplay zuerst eine Infinity-Gem-Quest starten und anschließend Avengers Multiball stacken. Power Gem und Time Gem sind häufig die stärksten ersten Ziele.
Stranger Things;Standard: blinkende obere Lane. Super Skillshot: linken Flipper halten → Demogorgon-Rampe.;1. Telekinese-Modus oder Chapter starten. 2. Demogorgon öffnen. 3. Zwei virtuelle Locks sammeln. 4. Demogorgon treffen. 5. Demogorgon Multiball starten. 6. Chapter während des Multiballs weiterspielen.;🥇 Erst ein Chapter starten. 🥈 Danach Demogorgon Multiball stacken.;Hawkins Lab / Start-Chapter-Scoop.;Demogorgon durch Chapter- und Shot-Fortschritt öffnen.;Demogorgon (Spielzeug in der Mitte, virtuelle Locks).;Schuss auf den geöffneten Demogorgon.;Ja – Action Button: UV-Licht einschalten. Versteckte Shot-Ziele sichtbar machen und für schwierige Kapitel- oder Multiball-Schüsse nutzen.;Ist der Demogorgon schwierig zu treffen, lieber sichere Chapter weiterspielen.;Demogorgon – Fehlschüsse aus der Mitte können direkt zwischen die Flipper zurückkommen.;Zuerst ein Chapter starten und anschließend den Demogorgon Multiball stacken. Linker Orbit und linke Rampe sind meist die sichersten Kontrollschüsse.
James Bond 007;Standard: blinkende obere Lane. Super Skillshot: linken Flipper halten → linker Orbit oder Jet-Pack-Rampe.;1. Einen Ally auswählen. 2. Mission starten. 3. Bird 1 Multiball qualifizieren. 4. Drei virtuelle Locks sammeln. 5. Bird-1-Rampe treffen. 6. Multiball mit Mission stacken.;🥇 Q oder Honey Ryder wählen. 🥈 Danach sofort eine Mission starten.;MI6 HQ / Mission-Scoop.;Bird 1 Multiball durch Missionsfortschritt qualifizieren.;Bird 1 (virtuelle Locks über Orbit/Rampe).;Bird-1-Rampe nach dem 3. Lock.;Ja – Action Button: Jetpack aktivieren (verlängert bzw. unterstützt bestimmte Missionen und Modi). Für schwierige Missions- oder Jackpot-Schüsse aufheben.;Ist Bird 1 noch weit entfernt, lieber Mission weiterspielen.;Bird-1-Rampe – Fehlschüsse prallen oft hart zum rechten Flipper oder Richtung Outlane zurück.;Im Matchplay zuerst einen starken Ally wählen und Bird 1 mit einer Mission stacken. Ein Multiball ohne aktive Mission bringt meist deutlich weniger Punkte.
The Mandalorian;Standard: blinkende obere Lane. Super Skillshot: linken Flipper halten → Razor Crest Ramp (rechte Rampe).;1. Mission am Encounter Scoop starten. 2. Razor Crest Multiball qualifizieren. 3. Drei virtuelle Locks sammeln. 4. Razor Crest Ramp treffen. 5. Multiball starten. 6. Missionen und Beskar weiterspielen.;🥇 Erst eine einfache Mission starten. 🥈 Danach Razor Crest Multiball stacken.;Encounter Scoop (links).;Razor Crest Multiball durch Missionsfortschritt qualifizieren.;Razor Crest Ramp (virtuelle Locks).;Razor Crest Ramp nach dem 3. Lock.;Ja – Action Button: Flamethrower, Whistling Birds oder andere ausgerüstete Waffen einsetzen. Für schwierige Missions- oder Jackpot-Schüsse aufsparen.;Ist die Rampe unsicher, lieber linken Orbit und Missionsschüsse spielen.;Razor Crest Ramp – Fehlschüsse laufen oft zur rechten Outlane oder SDTM zurück.;Im Matchplay zuerst eine Mission starten und anschließend Razor Crest Multiball stacken. Frühe Missionen sind sicher und bringen zusammen mit dem Multiball deutlich mehr Punkte.
Star Wars (Stern);Standard: blinkende obere Lane. Super Skillshot: linken Flipper halten → Hyperspace Ramp (rechte Rampe).;1. Charakter wählen. 2. Mission starten. 3. TIE Fighter (Mitte) treffen und TIE Fighter Multiball qualifizieren. 4. Drei virtuelle Locks sammeln. 5. Hyperspace Ramp treffen. 6. Multiball starten und Mission weiterspielen.;🥇 Escape oder Rebel Mission zuerst. 🥈 Danach TIE Fighter Multiball stacken.;Missionen über den Mission Scoop (links).;TIE Fighter durch Treffer auf das Center Target qualifizieren.;Hyperspace Ramp (virtuelle Locks).;Hyperspace Ramp nach dem 3. Lock.;Ja – Action Button: Force-Fähigkeit des gewählten Charakters einsetzen. Für schwierige Missionsschüsse oder während des Multiballs aufheben.;Ist die Mitte gefährlich, lieber über Rampen und Orbits weiterspielen.;TIE Fighter (Mitte) – Fehlschüsse führen häufig direkt SDTM zurück.;Im Matchplay möglichst früh einen einfachen Modus starten und mit dem TIE Fighter Multiball kombinieren. Wenn die Mitte gefährlich spielt, lieber über Rampen und Orbits punkten als den TIE Fighter erzwingen.
Dialed In!;Standard: blinkende obere Lane. Super Skillshot: linker Orbit.;1. Eine Katastrophe (Disaster) am Quantum Theater starten. 2. SIM Cards sammeln. 3. Phone Multiball qualifizieren. 4. Zwei virtuelle Locks sammeln. 5. Phone Scoop treffen – Multiball startet.;🥇 Einfache Disaster (z. B. Earthquake oder Flood). 🥈 Schwierige Katastrophen später.;Quantum Theater (Mitte).;Phone Multiball durch das Sammeln der SIM Cards qualifizieren.;Phone Scoop (virtuelle Locks).;Phone Scoop (links), sobald beide Locks gesetzt sind.;Ja – Action Button: Kamera/Smartphone einsetzen (je nach Spielzustand für Kamera, Magnets oder SIM-Features). Für schwierige Quantum-Theater-Schüsse oder im Multiball aufheben.;Ist der Multiball noch weit entfernt, lieber weitere Disaster spielen und SIM Cards sammeln.;Quantum Theater – Fehlschüsse aus der Mitte können schnell zwischen die Flipper zurücklaufen.;Im Matchplay zuerst eine einfache Katastrophe spielen und nebenbei SIM Cards sammeln. Phone Multiball ist schnell erreichbar und zusammen mit einer laufenden Katastrophe deutlich wertvoller.
Wizard of Oz;Standard: blinkende obere Lane. Super Skillshot: linken Flipper halten → linker Orbit.;1. Munchkin Land bzw. einen House-Modus starten. 2. Crystal Ball treffen. 3. Emerald City Multiball qualifizieren. 4. Drei virtuelle Locks sammeln. 5. Crystal Ball erneut treffen – Multiball startet.;🥇 Früh die House-Modi spielen. 🥈 Emerald City nebenbei aufbauen.;House-Scoop / Munchkin Land.;Emerald City Multiball durch Fortschritt in den House-Modi qualifizieren.;Crystal Ball (virtuelle Locks).;Crystal Ball (Mitte), sobald alle Locks gesetzt sind.;Ja – Action Button: Toto einsetzen, um den Ball zu retten bzw. aus Gefahrensituationen zu befreien. Möglichst für kritische Situationen oder während des Multiballs aufheben.;Ist Emerald City noch weit entfernt, lieber House-Modi weiterspielen.;Crystal Ball – Fehlschüsse aus der Mitte können direkt SDTM führen.;Im Matchplay zuerst die House-Modi spielen und dabei Emerald City Multiball vorbereiten. Den Crystal Ball nur aus kontrollierter Balllage angreifen und den Multiball möglichst mit einem laufenden Modus stacken.
Pirates of the Caribbean (JJP);Standard: blinkende obere Lane. Super Skillshot: linken Flipper halten → linker Orbit.;1. Tortuga besuchen. 2. Crewmitglied rekrutieren. 3. Battle starten. 4. Ersten 5-Ball-Multiball vorbereiten. 5. Battle und Multiball kombinieren.;🥇 Früh einen Battle starten. 🥈 Auf eine Crew konzentrieren.;Deadhead Hole / Tortuga (Mitte).;Ersten 5-Ball-Multiball über Crew-Fortschritt und Spielziele qualifizieren.;Keine physischen Locks – virtuelle Locks.;Deadhead Hole bzw. beleuchteter Startschuss.;Ja – Action Button: Piratenkanone abfeuern. Für schwierige Battle- oder Jackpot-Schüsse sowie im Multiball einsetzen.;Statt viele Nebenziele zu verfolgen, lieber Crew und Battle weiterspielen.;Deadhead Hole – Fehlschüsse können unkontrolliert zwischen die Flipper zurückkommen.;Im Matchplay nicht versuchen, alles zu sammeln. Eine Crew auswählen, früh einen Battle starten und ihn mit einem Multiball kombinieren. Das bringt wesentlich konstantere Punkte.
Toy Story 4;Standard: blinkende obere Lane. Super Skillshot: linken Flipper halten → linker Orbit.;1. Kaboom! oder Carnival Game starten. 2. Forky retten. 3. Toy Box Multiball qualifizieren. 4. Zwei virtuelle Locks sammeln. 5. Toy Box treffen – Multiball startet.;🥇 Früh ein Carnival Game starten. 🥈 Toy Box nebenbei aufbauen.;Carnival Scoop / Kaboom!;Toy Box Multiball durch Treffer auf die Toy Box und Spielfortschritt qualifizieren.;Toy Box (virtuelle Locks).;Toy Box (Mitte), sobald beide Locks gesetzt sind.;Ja – Action Button: Kaboom-Kanone bzw. Spezialfähigkeit einsetzen. Für schwierige Toy-Box-Schüsse oder im Multiball aufheben.;Ist Toy Box noch weit entfernt, lieber Carnival Games weiterspielen.;Toy Box – Fehlschüsse können direkt SDTM zurückkommen.;Im Matchplay früh ein Carnival Game starten und parallel Toy Box Multiball vorbereiten. Modus + Multiball bringt deutlich mehr Punkte als ein früher Einzel-Multiball.
Elton John;Standard: blinkende obere Lane. Super Skillshot: linken Flipper halten → linker Orbit.;1. Einen Song am Piano Scoop starten. 2. Song weiterspielen oder abschließen. 3. Encore Multiball qualifizieren. 4. Zwei virtuelle Locks sammeln. 5. Piano Scoop treffen – Multiball startet.;🥇 Crocodile Rock oder Saturday Night's Alright. 🥈 Anspruchsvollere Songs später.;Piano Scoop (Mitte).;Encore Multiball durch Song-Fortschritt und Treffer auf das Piano qualifizieren.;Piano (virtuelle Locks).;Piano Scoop, sobald beide Locks gesammelt sind.;Ja – Action Button: Flipper-Fähigkeit/Song-Feature aktivieren (je nach Song unterschiedliche Wirkung). Für schwierige Song-Schüsse oder während des Multiballs einsetzen.;Ist Encore noch weit entfernt, lieber den gestarteten Song weiterspielen.;Piano Scoop – Fehlschüsse aus der Mitte können schnell SDTM oder in die Outlanes führen.;Im Matchplay zuerst einen einfachen Song starten und parallel Encore Multiball vorbereiten. Songs in Kombination mit dem Multiball bringen deutlich mehr Punkte als einzeln gespielte Modi.
Harry Potter;Skillshot: blinkende obere Lane. Super Skillshot: linken Flipper halten und den linken Orbit (ganz links außen) treffen.;1. Hogwarts-Haus wählen. 2. Lesson oder Encounter starten. 3. Fortschritt für den House Multiball sammeln. 4. Drei virtuelle Locks aktivieren. 5. Den Great Hall Scoop (Loch mittig unter dem Schloss/der Great Hall) treffen – House Multiball startet.;🥇 Früh eine Lesson starten und beim gewählten Haus bleiben.;Great Hall Scoop (Loch mittig unter dem Schloss).;House Multiball durch Fortschritt bei Lessons und Encounters qualifizieren.;Virtuelle Locks über die Great Hall – kein physischer Ball-Lock.;Great Hall Scoop (Loch mittig unter dem Schloss), sobald alle drei Locks gesammelt sind.;Ja. Action Button zum Aktivieren von Zaubern/Spezialfähigkeiten. Am besten während einer Lesson oder im Multiball einsetzen.;Ist der Multiball noch weit entfernt, lieber Lessons und Encounters weiterspielen.;Great Hall Scoop – Fehlschüsse aus der Mitte laufen häufig hart auf den rechten Flipper oder Richtung rechter Outlane zurück.;Früh eine Lesson starten und parallel House Multiball vorbereiten. Lesson + Multiball zu stacken bringt deutlich mehr Punkte als ein früher Einzel-Multiball.
Scooby-Doo, Where Are You!;Skillshot: mit den Flippern linke Drop-Targets (links unten), Character Orbit (links außen) oder Standup-Targets (Mitte) wählen. Secret Skillshot: unterstes linkes Drop-Target treffen.;1. Zwei Clues (Fingerabdrücke) sammeln. 2. Einen Case an der Mystery Machine (großer Van in der Spielfeldmitte) starten. 3. Parallel Mystery Machine Multiball vorbereiten. 4. Case abschließen. 5. Nach drei Locks startet der Multiball automatisch.;🥇 Fred ist meist die beste Turnierwahl (Start mit virtuellem Lock).;Mystery Machine (Van in der Spielfeldmitte).;Die beiden Spinner (links und rechts der Spielfeldmitte) oft genug drehen, bis LOCK leuchtet.;Mystery Machine (Van in der Mitte) – insgesamt 3 physische Locks.;Startet automatisch nach dem 3. Lock.;Ja. Action Button aktiviert die Spezialfähigkeit des gewählten Mystery-Inc.-Charakters. Am besten während eines Cases oder im Multiball einsetzen.;Ist der Multiball noch weit entfernt, lieber Clues und Cases weiterspielen.;Mystery Machine – Fehlschüsse aus der Mitte führen oft direkt SDTM.;Zuerst einen Case starten und nebenbei Spinner für den Mystery Machine Multiball spielen. Fred beschleunigt den ersten Multiball deutlich.
Texas Chainsaw Massacre;Skillshot: blinkendes Drop-Target (Mitte) treffen. Super Skillshot: Action Button vor dem Abschuss halten und den oberen linken Loop (links oben) direkt nach dem Plunge treffen.;1. Mode starten. 2. Hook Multiball vorbereiten. 3. Drei Locks sammeln. 4. Hook Multiball startet automatisch. 5. Mode zusammen mit dem Multiball spielen.;🥇 Früh einen einfachen Mode starten.;Middle Scoop (Loch mittig im Spielfeld).;Das Drop-Target vor dem Post Lock (Mitte) abschießen, damit LOCK leuchtet.;Post Lock (physischer Lock im oberen Spielfeld) – insgesamt 3 Locks.;Automatisch nach dem 3. Lock (Hook Multiball).;Ja. Für den Super Skillshot zwingend erforderlich. Später für Spezialfunktionen und Modi möglichst im Multiball einsetzen.;Ist Hook MB noch weit entfernt, lieber den gestarteten Mode weiterspielen.;Middle Scoop – Fehlschüsse aus der Mitte führen häufig direkt SDTM.;Hook Multiball möglichst früh starten und mit einem laufenden Mode kombinieren. Die linken Rampen und Loops sind meist die sichersten Kontrollschüsse.
Labyrinth;Skillshot: blinkende obere Lane. Super Skillshot: linken Flipper halten und den linken Orbit (ganz links außen) treffen.;1. Einen Friend (Hoggle, Ludo oder Sir Didymus) auf Level 1 bringen. 2. Brick Keeper Multiball vorbereiten. 3. Zwei Locks sammeln. 4. Den rechten Orbit (ganz rechts außen) treffen – Brick Keeper Multiball startet.;🥇 Brick Keeper Multiball priorisieren.;Über die jeweiligen Friend-Schüsse.;Die grünen Targets (Mitte) komplettieren, damit die Locks aktiviert werden.;1. Lock: linker Orbit (links außen). 2. Lock: Center Ramp (mittig).;Rechter Orbit (ganz rechts außen), sobald beide Locks gesetzt sind.;Ja. Aktiviert die Fähigkeit des aktuell gewählten Friends. Sinnvoll während eines Modus oder Multiballs.;Friend Multiball erst nach Brick Keeper verfolgen.;Center Ramp – Fehlschüsse kommen häufig hart auf den rechten Flipper zurück.;Brick Keeper Multiball ist der schnellste und sicherste Weg zu Punkten. Zuerst die grünen Targets spielen und komplizierte Modi ignorieren.
Dune;Skillshot: blinkende obere Lane. Super Skillshot: linken Flipper halten und den linken Orbit (ganz links außen) treffen.;1. Harvester Battle starten. 2. Harvester Multiball qualifizieren. 3. Zwei Locks sammeln. 4. Den Harvester (großes Spielzeug oben Mitte) treffen – Multiball startet. 5. Danach Fremen- oder Sietch-Modi spielen.;🥇 Harvester Battle zuerst.;Battle Scoop (Loch mittig).;Harvester Battle erfolgreich spielen und dadurch die beiden Locks aktivieren.;Harvester (großes Fahrzeug oben Mitte) – 2 physische Locks.;Harvester (oben Mitte) nach dem 2. Lock.;Ja. Action Button aktiviert Spezialfähigkeiten (z. B. Kampf-/Fremen-Funktionen). Am besten für schwierige Battle-Schüsse oder im Multiball aufsparen.;Ist Harvester noch weit entfernt, lieber sichere Rampen und Battles weiterspielen.;Harvester-/Sandworm-Schuss (oben Mitte) – Fehlschüsse aus der Mitte können sehr schnell SDTM führen.;Harvester Multiball ist die beste frühe Strategie. Harvester Battle möglichst mit dem Multiball stacken und lieber wenige sichere Rampen als riskante Wizard-Pfade spielen.
Predator;Skillshot: blinkende obere Lane. Super Skillshot: den oberen linken Loop (ganz links außen zum oberen Flipper) direkt nach dem Abschuss treffen.;1. Get to da Choppa! Multiball vorbereiten. 2. Die rechte Rampe (rechts außen) mehrfach treffen, bis LIGHT LOCK leuchtet. 3. Den Ball über die rechte Rampe in den Helikopter (oben rechts) locken. 4. Insgesamt 2 Locks sammeln. 5. Get to da Choppa! Multiball startet automatisch. 6. Anschließend Camp Attack oder Jungle Blast spielen.;🥇 Get to da Choppa! Multiball priorisieren.;Kein separater Modusstart – Aufbau über die rechte Rampe.;Die rechte Rampe (rechts außen) mehrfach treffen, bis LIGHT LOCK leuchtet.;Helikopter (oben rechts am Ende der rechten Rampe) – 2 physische Locks.;Automatisch nach dem 2. Lock.;Ja. Action Button aktiviert Spezialfähigkeiten bzw. Waffen (je nach Spielsituation). Am besten im Multiball oder für schwierige Schüsse einsetzen.;Ist der Multiball noch weit entfernt, lieber sichere Rampen weiterspielen.;Rechte Rampe – Fehlschüsse können hart auf den rechten Flipper zurückkommen.;Im Matchplay ist Get to da Choppa! der schnellste Weg zu Punkten. Zunächst ausschließlich die rechte Rampe spielen, komplexere Multiballs ignorieren und im Multiball konsequent Jackpots sowie den Super Jackpot einsammeln.
King Kong: Myth of Terror Island;Skillshot: blinkende obere Lane. Super Skillshot: linken Flipper halten und den linken Orbit (ganz links außen) oder den Gong (oben Mitte) treffen.;1. Eine Island Scene über den Gong (oben Mitte) starten. 2. Einen Island Lock vorbereiten. 3. Zweimal die KONG-Drop-Targets (Mitte) komplettieren. 4. Den Ball im Zug (Train Lock oben rechts) locken. 5. Insgesamt 3 Locks sammeln. 6. King Kong Multiball startet automatisch.;🥇 Früh eine Island Scene starten.;Gong (oben Mitte).;Zwei komplette KONG-Drop-Target-Sätze (Mitte) abschließen.;Train Lock (Zug oben rechts) – 3 physische Locks.;Automatisch nach dem 3. Lock (Premium/LE: Kong schlägt den Zug um).;Ja. Action Button aktiviert Kong-/Spezialfunktionen (modellabhängig). Für Multiball oder schwierige Kong-Schüsse aufsparen.;Ist die Mitte gefährlich, lieber Orbits und Rampen spielen.;KONG-Drop-Targets (Mitte) – Fehlschüsse können sehr schnell SDTM führen.;Im Matchplay zuerst einen Island Lock sichern und anschließend eine Island Scene starten. King Kong Multiball möglichst mit einer laufenden Scene stacken.
Creature from the Black Lagoon;Skillshot: die PAID-Rollovers (oben) treffen und möglichst PAID vervollständigen.;1. F-I-L-M vervollständigen. 2. Einen Ball im linken oder rechten Saucer (oben links/rechts) locken. 3. Multiball starten. 4. Girl finden. 5. Snackbar treffen. 6. Jackpot und anschließend Super Jackpot holen.;Keine Moduswahl vorhanden.;–;F-I-L-M vervollständigen: F = KISS-Targets, I = Snackbar-Targets (Mitte), L = PAID-Lanes (oben), M = Slide (rechts).;Linker oder rechter Saucer (oben links bzw. oben rechts) – 1 physischer Lock.;Automatisch nach dem Lock.;Nein – kein Action Button vorhanden.;Sind noch Buchstaben offen, lieber F-I-L-M vervollständigen.;Snackbar (Mitte) – Fehlschüsse können schnell und unkontrolliert zurückkommen.;Im Matchplay fast ausschließlich auf den Multiball spielen. Vor dem ersten Jackpot möglichst den Playfield-Multiplikator über die Creature-Rampe erhöhen.
Cirqus Voltaire;Skillshot: den Ringmaster-Ring (Mitte) direkt nach dem Abschuss treffen.;1. WOW vervollständigen. 2. Ringmaster besiegen. 3. LIGHT- und LOCK-Targets treffen. 4. Drei Locks über die Highwire-Rampe (linke Rampe) sammeln. 5. Highwire Multiball startet automatisch. 6. Möglichst mit Ringmaster Frenzy kombinieren.;🥇 Highwire Multiball priorisieren.;–;Die LIGHT- und LOCK-Targets (Mitte) treffen und nacheinander die drei Locks aktivieren.;Highwire-Rampe (linke Rampe links außen) – 3 physische Locks.;Automatisch nach dem 3. Lock.;Nein – kein Action Button vorhanden.;Ist der Lock noch weit entfernt, lieber Ringmaster und linke Rampe weiterspielen.;Ringmaster (Mitte) – Fehlschüsse können sehr schnell SDTM führen.;Highwire Multiball möglichst mit Ringmaster Frenzy stacken. Die linke Rampe und der Ringmaster sind die wichtigsten Schüsse des Spiels.
Congo;Skillshot: blinkende obere Lane. Super Skillshot: linken Flipper halten und die Grey-Gorilla-Rampe (linke Rampe) treffen.;1. A-M-Y vervollständigen. 2. Volcano Multiball qualifizieren. 3. Zwei Locks im Volcano (links oben) sammeln. 4. Den Volcano erneut treffen – Multiball startet. 5. Diamonds sammeln. 6. Grey Gorilla spielen.;🥇 Volcano Multiball priorisieren.;–;A-M-Y vervollständigen: A = linke Rampe, M = Mine (Mitte), Y = rechte Rampe.;Volcano (Vulkan links oben) – 2 physische Locks.;Volcano (links oben), sobald beide Locks gesetzt sind.;Nein – kein Action Button vorhanden.;Ist Volcano noch weit entfernt, lieber sichere Rampen spielen.;Volcano (links oben) – Fehlschüsse aus der linken oberen Ecke kommen häufig unkontrolliert auf den rechten Flipper zurück.;Im Matchplay möglichst schnell Volcano Multiball erreichen. Während des Multiballs Jackpots und anschließend den Super Jackpot priorisieren. Diamonds nur mitnehmen, wenn sie auf sicheren Schüssen liegen.
The Champion Pub;Skillshot: Balcony Ramp (linke Rampe links außen) treffen. Je nach Anzeige gibt es den Jackpot oder einen Skillshot-Award.;1. Training absolvieren: Speed Bag (links oben), Jump Rope (Mitte) und Heavy Bag (rechts oben). 2. Gesundheit auffüllen. 3. Einen Fight gegen den Boxer in der Spielfeldmitte starten. 4. BARFLY vervollständigen. 5. Fisticuffs Multiball vorbereiten. 6. Boxkämpfe gewinnen und Multiball starten.;🥇 Früh den ersten Boxer besiegen.;Fight-Scoop (Mitte vor dem Boxer).;BARFLY durch Treffer auf die entsprechenden Ziele und Features vervollständigen.;Keine physischen Locks – virtueller Multiball.;Startet automatisch nach Abschluss von BARFLY/Fisticuffs.;Nein – kein Action Button vorhanden.;Ist Fisticuffs noch weit entfernt, lieber Training und Kämpfe weiterspielen.;Boxer (Mitte) – Fehlschüsse können direkt zwischen die Flipper (SDTM) zurückkommen.;Im Matchplay zuerst das Training abschließen und früh einen Boxer besiegen. Wenn möglich Fisticuffs Multiball mit einem Fight stacken. Die Balcony Ramp ist einer der sichersten und wichtigsten Schüsse des Spiels.
Safe Cracker;Skillshot: blinkende obere Lane. Super Skillshot: linken Flipper halten und die Bank Ramp (linke Rampe links außen) treffen.;1. Die BANK-Targets (B-A-N-K in der Spielfeldmitte) vervollständigen. 2. Dadurch den Safe öffnen. 3. Crime Wave Multiball qualifizieren. 4. Zwei virtuelle Locks sammeln. 5. Den Safe (Tresor in der Spielfeldmitte) treffen – Multiball startet. 6. Danach Assault on the Vault spielen.;🥇 Crime Wave Multiball priorisieren.;–;BANK (B-A-N-K-Targets in der Mitte) vervollständigen, um den Safe zu öffnen.;Safe (Tresor in der Spielfeldmitte) – 2 virtuelle Locks.;Schuss auf den geöffneten Safe (Mitte) nach dem zweiten Lock.;Nein – kein Action Button vorhanden.;Ist der Safe noch nicht geöffnet, lieber weiter BANK vervollständigen.;Safe (Center Shot) – Fehlschüsse können direkt SDTM zurückkommen.;Im Matchplay schnell Crime Wave Multiball erreichen. Die Bank Ramp ist der sicherste Aufbauschuss und bringt gleichzeitig Fortschritt für mehrere Ziele.
Who Dunnit;Skillshot: blinkende obere Lane. Super Skillshot: linken Flipper halten und die linke Rampe (links außen) treffen.;1. Einen Case starten. 2. Evidence sammeln. 3. Den Multiball qualifizieren. 4. Drei virtuelle Locks sammeln. 5. Den Elevator Scoop (Loch mittig unter dem Aufzug) treffen – Multiball startet. 6. Jackpot holen und den Täter anklagen.;🥇 Früh einen Case starten.;Case-Scoop (Elevator in der Spielfeldmitte).;Q-U-I-C-K bzw. den erforderlichen Rampen- und Case-Fortschritt vervollständigen.;Elevator Scoop (Loch mittig unter dem Aufzug) – 3 virtuelle Locks.;Elevator Scoop, sobald alle Locks gesetzt sind.;Nein – kein Action Button vorhanden.;Ist der Multiball noch weit entfernt, lieber Cases und Rampen weiterspielen.;Elevator Scoop – Fehlschüsse aus der Mitte kommen häufig direkt SDTM zurück.;Im Matchplay zuerst einen Case starten und parallel den Multiball vorbereiten. Die linke Rampe ist einer der sichersten Schüsse und bringt Fortschritt für mehrere Ziele.
Black Knight 2000;Skillshot: die WIN-Lanes auf dem oberen Spielfeld treffen und Bonus-X erhöhen.;1. Die 1-2-3-Targets (oberes Spielfeld vor der Zugbrücke) treffen. 2. Dadurch die Drawbridge öffnen. 3. Insgesamt drei Bälle über die Drawbridge locken. 4. Multiball startet automatisch. 5. Jackpots über die Drawbridge sammeln. 6. Wenn möglich King's Ransom spielen.;🥇 Multiball priorisieren.;–;Die 1-2-3-Targets (oberes Spielfeld) treffen und nach jedem Lock erneut öffnen.;Drawbridge (oberes Spielfeld hinter der Zugbrücke) – 3 physische Locks.;Automatisch nach dem 3. Lock.;Nein – kein Action Button vorhanden.;Ist die Drawbridge geschlossen, zuerst die 1-2-3-Targets treffen.;Skyway (linke Rampe zum oberen Spielfeld) – Fehlschüsse schicken den Ball aufs untere Spielfeld, wo die Drain-Gefahr deutlich höher ist.;Im Matchplay gilt: „Bleib oben!“ Das obere Spielfeld ist wesentlich sicherer. Den Skyway-Schuss vom rechten Flipper zuverlässig beherrschen und Multiball priorisieren.
